100
33 105
18 20 18
19 21 19
19 22 19
20 21 20
20 22 20
21 23 21
21 24 21
22 23 22
22 24 22
23 25 23
23 26 23
24 25 24
24 26 24
25 27 25
25 28 25
26 27 26
26 28 26
27 29 27
27 30 27
28 29 28
28 30 28
29 31 29
29 32 29
30 31 30
30 32 30
31 33 31
31 34 31
32 33 32
32 34 32
33 35 33
33 36 33
34 35 34
34 36 34
35 37 35
35 38 35
36 37 36
36 38 36
37 39 37
37 40 37
38 39 38
38 40 38
39 41 39
39 42 39
40 41 40
40 42 40
41 43 41
41 44 41
42 43 42
42 44 42
43 45 43
43 46 43
44 45 44
44 46 44
45 47 45
45 48 45
46 47 46
46 48 46
47 49 47
47 50 47
48 49 48
48 50 48
49 51 49
49 52 49
50 51 50
50 52 50
51 53 51
51 54 51
52 53 52
52 54 52
53 55 53
53 56 53
54 55 54
54 56 54
55 57 55
55 58 55
56 57 56
56 58 56
57 58 57
58 59 58
59 60 59
60 57 60
36 34
10 1 34
32 15 26
31 2 13
8 29 26
7 21 12
28 10 34
2 4 26
21 3 23
8 17 26
12 33 12
4 6 4
25 17 26
14 22 26
14 22 26
21 22 34
14 10 26
7 1 12
1 7 12
17 21 26
29 7 12
15 1 26
3 11 26
33 30 26
3 19 26
3 11 26
16 11 26
34 22 34
13 7 12
12 26 12
21 26 26
9 27 26
18 15 12
19 14 26
2 19 26
16 25
6 10 10
3 8 1
6 11 1
8 12 1
4 3 1
11 9 14
1 14 1
7 16 14
2 1 1
13 14 13
11 7 14
8 7 1
16 14 14
15 11 15
10 9 10
8 1 1
12 4 1
6 1 1
2 8 1
11 16 14
16 15 15
4 16 1
8 4 1
15 8 15
7 15 15
12 96
10 1 8
9 12 8
4 1 8
9 8 8
7 5 8
5 1 8
2 9 8
4 9 9
1 10 8
8 7 8
3 10 8
10 1 8
9 3 3
11 2 12
11 2 12
5 1 8
2 4 8
5 3 3
10 9 8
12 6 12
9 6 8
4 8 8
4 9 9
7 1 8
4 12 8
6 10 8
2 11 12
7 3 8
3 10 8
3 11 8
12 9 8
11 8 8
6 12 12
2 10 8
7 12 12
12 2 12
7 4 8
9 12 8
9 10 8
12 9 3
5 7 8
12 4 8
9 3 3
1 12 8
11 7 7
4 9 9
8 6 8
12 4 8
5 9 3
5 7 8
6 8 8
4 6 8
5 1 8
9 5 3
5 11 8
4 10 8
12 5 8
11 8 8
6 4 8
12 5 8
10 3 8
9 4 9
8 7 8
8 2 8
6 10 8
12 9 8
12 9 8
2 8 8
2 1 8
1 11 8
3 1 8
1 6 8
6 4 4
12 11 12
11 12 12
6 3 8
11 12 12
12 11 12
9 1 8
12 5 8
1 9 8
1 7 8
7 12 12
5 11 3
9 2 8
3 6 8
10 3 8
2 5 8
5 1 8
4 8 8
5 2 8
3 12 8
7 5 8
9 10 8
7 4 8
10 1 8
6 105
3 4 4
6 1 3
4 3 4
2 5 3
3 5 3
2 6 3
3 6 3
3 5 3
2 5 3
1 6 3
1 6 3
6 5 6
5 2 3
3 5 3
4 1 4
4 1 4
6 4 4
4 6 4
5 6 6
1 6 3
3 6 3
6 4 4
1 2 3
3 1 3
6 2 3
4 6 4
3 6 3
2 3 3
4 2 4
3 2 3
3 2 3
5 2 3
3 5 3
5 1 3
4 5 4
1 3 3
5 4 4
3 5 3
4 6 4
2 1 3
2 6 3
5 6 6
5 4 4
6 1 3
4 6 4
6 5 6
5 2 3
6 1 3
5 6 6
2 6 3
3 2 3
5 1 3
5 4 4
1 6 3
1 3 3
3 4 4
6 1 3
5 2 3
4 6 4
6 4 4
1 6 3
4 3 4
4 1 4
2 4 4
2 5 3
6 3 3
5 1 3
2 1 3
1 6 3
1 4 4
3 1 3
6 2 3
2 4 4
6 1 3
3 1 3
1 2 3
3 2 3
6 5 6
5 6 6
2 6 3
5 4 4
6 4 4
4 3 4
3 6 3
4 5 4
1 3 3
5 4 4
6 5 6
4 2 4
1 3 3
5 2 3
2 5 3
6 1 3
2 1 3
3 2 3
4 2 4
1 5 3
4 5 4
6 4 4
5 6 6
4 1 4
5 2 3
5 4 4
4 3 4
1 5 3
43 104
40 33 12
6 17 21
37 28 25
2 37 25
13 17 21
32 26 32
17 29 34
24 14 32
5 7 25
30 2 32
26 12 41
9 14 32
33 6 21
7 30 32
27 10 21
7 6 21
8 13 8
28 23 25
26 2 25
4 30 38
15 11 41
18 29 23
6 18 21
36 40 41
29 24 23
11 38 38
20 8 32
1 7 25
7 3 25
35 30 32
4 35 32
5 12 41
25 17 21
38 37 32
36 18 41
10 16 21
35 17 21
14 11 20
17 1 21
35 22 26
19 31 14
23 18 23
15 36 21
2 23 25
41 42 41
41 7 41
41 31 41
8 2 25
18 14 32
14 35 32
24 5 25
40 22 25
39 18 25
21 10 21
30 3 32
15 30 21
32 26 32
33 14 32
8 42 25
35 14 32
40 34 41
31 7 4
39 35 5
28 27 32
35 37 25
15 11 21
32 11 32
7 40 7
27 10 21
20 21 21
25 19 32
19 11 19
3 10 21
30 21 21
24 13 25
1 40 25
14 16 32
28 23 25
40 17 21
14 35 42
29 15 9
12 1 41
1 14 34
32 41 32
7 30 32
30 32 32
42 16 25
1 33 25
11 42 32
24 43 25
27 36 32
40 29 25
5 31 25
26 11 32
33 10 21
11 2 32
14 2 32
8 43 25
19 14 19
15 3 38
20 34 32
33 12 41
43 37 25
39 26 5
11 99
7 1 10
4 9 9
1 6 6
9 4 9
3 11 7
4 2 10
5 4 10
11 10 10
10 2 10
3 1 10
1 4 10
7 11 7
8 6 10
7 9 7
6 3 10
6 7 10
4 1 10
4 3 7
3 4 7
11 4 4
1 11 10
6 4 10
10 2 10
5 10 10
11 8 7
3 4 7
10 4 10
1 11 10
6 7 10
9 4 9
7 3 7
7 8 7
5 11 10
7 11 7
5 10 10
11 4 4
5 2 5
11 4 4
11 7 7
8 11 7
1 3 10
7 10 10
5 10 10
1 10 10
3 1 10
6 1 6
8 5 10
11 10 10
3 1 10
4 10 10
3 5 10
3 7 7
8 10 10
6 3 10
1 4 10
6 1 6
10 11 10
9 2 10
4 5 10
7 10 10
3 4 7
4 7 7
6 1 6
10 8 10
3 7 7
6 3 10
7 5 10
4 9 9
5 3 10
3 7 7
2 1 1
4 9 9
7 9 7
11 4 4
4 5 10
5 3 10
6 11 10
1 5 5
5 7 10
5 1 5
9 4 9
9 7 7
1 7 10
3 8 7
2 4 10
1 2 1
11 2 10
9 6 10
9 11 9
3 11 7
11 10 10
3 4 7
3 6 10
6 9 10
10 9 10
7 1 10
5 7 10
4 2 10
11 3 7
23 80
18 15 20
21 13 21
2 10 13
6 18 20
16 14 20
9 19 20
3 19 20
23 21 20
14 20 20
4 9 1
8 6 20
9 8 20
14 3 20
1 5 1
15 8 20
17 18 20
22 7 22
5 9 22
23 6 20
5 3 20
15 22 20
12 18 20
7 2 20
16 14 20
4 9 1
10 23 20
12 15 21
2 20 20
22 20 20
22 20 20
21 20 20
18 3 20
11 22 22
17 13 20
3 23 20
15 6 21
17 7 20
19 22 20
9 21 20
8 6 20
15 7 20
13 8 20
13 17 20
12 21 21
5 6 20
7 17 20
14 19 14
18 6 20
4 1 1
16 22 22
12 3 13
16 10 20
1 19 1
23 3 20
2 15 21
20 5 20
1 15 1
17 2 20
13 14 20
2 22 20
14 16 20
19 14 14
5 18 20
19 22 20
22 9 22
17 9 20
8 12 20
15 3 21
10 5 20
22 14 20
16 21 20
2 21 21
19 8 14
17 10 20
19 6 20
18 9 20
1 6 1
22 8 20
11 2 20
8 12 20
27 14
4 19 27
5 10 22
23 27 27
23 1 27
3 1 22
22 23 22
10 25 27
15 27 22
18 2 27
11 15 22
10 15 22
20 14 22
5 27 22
13 15 15
13 32
7 9 1
6 7 6
5 11 11
12 11 12
6 4 6
6 9 6
3 5 1
12 8 12
1 11 1
8 2 12
10 6 6
5 13 5
6 8 11
4 1 1
7 6 6
6 4 6
2 9 12
10 2 12
4 10 6
11 5 5
13 9 1
9 13 1
2 6 12
8 9 1
4 5 5
4 9 2
8 1 1
9 1 1
13 2 2
1 6 6
9 3 3
8 13 1
36 53
26 30 1
31 14 11
7 17 32
14 15 1
1 15 1
33 23 32
7 9 32
33 15 1
26 13 26
23 35 32
2 1 1
5 30 5
11 7 32
12 25 1
10 14 1
36 6 32
31 27 1
32 1 32
6 21 32
29 28 32
32 13 32
8 29 32
9 25 32
6 30 32
13 4 25
27 7 32
32 17 32
36 17 36
23 25 32
14 4 1
2 6 32
1 26 1
8 11 5
24 4 32
35 27 20
15 9 32
5 36 5
20 34 32
9 30 32
18 33 20
3 7 32
29 35 32
22 25 32
19 3 1
21 17 32
15 35 1
13 7 32
34 32 32
36 5 5
36 19 10
21 27 32
7 16 32
17 22 32
31 42
31 3 3
22 5 22
26 29 18
19 24 2
13 8 3
18 8 3
3 19 3
9 6 25
24 10 18
22 12 3
5 24 3
25 7 25
8 12 3
22 27 3
16 7 3
24 15 25
28 23 3
27 6 30
23 2 25
7 17 25
13 8 3
6 25 25
16 14 22
14 3 3
25 21 3
2 24 2
17 28 3
30 9 25
18 5 3
18 29 18
25 8 3
7 8 3
4 23 25
3 28 3
22 23 3
12 25 25
18 23 25
5 9 3
18 9 18
15 24 25
17 6 25
24 12 25
58 64
23 16 23
39 51 18
8 36 2
25 1 18
35 39 18
35 21 2
8 32 8
2 25 2
42 14 8
48 29 2
41 33 2
51 36 18
23 39 2
9 56 2
5 50 35
7 55 2
23 11 2
16 58 2
9 28 50
43 41 2
31 25 18
6 55 8
21 50 2
23 29 2
9 40 18
38 5 18
26 50 2
32 54 2
47 22 2
57 35 18
34 20 8
57 5 18
31 2 2
21 32 21
15 18 2
29 44 2
37 10 18
12 9 18
20 58 2
19 40 18
2 7 2
4 54 2
50 1 18
33 11 18
48 32 2
50 38 18
8 54 2
53 57 18
28 20 2
5 3 2
11 20 2
21 12 2
22 24 2
43 3 2
31 49 2
11 46 2
47 6 2
48 36 2
15 6 2
17 50 2
39 33 4
1 50 18
27 54 2
41 19 2
52 118
14 2 16
6 44 26
24 31 23
37 51 26
50 22 1
43 25 26
5 25 16
3 48 3
6 21 16
30 34 26
23 5 23
9 43 26
34 45 26
42 33 16
1 21 16
6 11 26
12 30 26
10 8 26
17 9 26
45 7 26
36 25 26
51 2 26
31 19 26
5 34 26
3 8 30
17 46 30
32 52 23
6 21 16
36 43 30
34 26 26
39 17 26
29 51 26
8 44 26
44 21 26
46 42 26
16 43 26
40 2 16
34 41 26
18 3 26
17 32 26
1 6 16
11 24 26
6 10 12
30 23 26
26 52 26
13 17 26
39 42 16
43 36 30
29 18 26
10 39 39
1 29 16
1 48 26
29 26 26
17 27 26
10 22 16
45 27 26
44 3 26
37 38 26
13 23 16
42 15 16
18 31 26
27 40 26
7 19 26
39 35 39
44 40 26
2 1 23
19 34 26
23 50 23
25 24 16
17 10 26
29 21 16
43 23 26
32 18 26
11 18 26
43 19 26
44 5 26
40 45 16
15 1 15
5 23 23
12 6 12
23 3 26
5 32 23
29 47 16
18 30 26
2 30 26
27 18 18
1 50 1
41 21 16
16 17 26
9 30 26
48 6 26
50 24 23
46 27 26
50 6 16
28 6 26
22 52 15
32 13 16
9 48 26
18 23 26
11 46 30
3 15 26
52 15 15
34 32 26
29 17 26
47 43 26
30 25 26
52 40 16
9 52 23
46 52 26
13 24 16
27 3 26
31 27 26
5 10 16
2 40 16
15 11 26
29 20 26
47 43 26
23 27 26
29 113
18 6 7
7 10 7
20 10 7
14 2 7
5 14 7
16 8 13
20 14 7
5 19 7
19 3 7
16 22 9
24 10 7
25 18 7
7 23 7
1 22 9
26 28 26
2 11 7
15 5 7
15 18 7
18 12 7
1 19 7
6 19 7
29 7 7
22 28 9
26 13 26
10 20 7
14 18 7
17 18 7
17 1 13
3 16 16
14 25 7
17 15 7
26 5 26
20 10 7
3 16 16
4 2 7
19 11 7
10 18 18
5 12 7
24 15 7
16 20 16
18 19 7
23 25 7
20 15 7
15 24 7
29 3 16
29 10 7
2 15 7
25 20 16
21 22 9
21 12 7
24 12 24
19 13 7
10 4 18
7 20 7
14 13 7
21 9 9
19 22 9
14 22 9
21 9 9
28 25 7
7 14 7
25 20 16
20 4 7
9 17 9
23 10 7
20 21 13
18 17 7
10 16 7
11 23 23
16 10 7
7 18 7
9 26 9
29 6 29
1 8 13
3 27 16
1 8 13
10 22 9
24 26 26
7 24 7
28 4 7
6 5 5
22 12 9
12 14 24
25 2 7
26 13 26
2 18 7
1 17 13
6 24 7
22 8 9
18 17 7
13 14 7
7 22 9
26 29 26
7 25 7
11 16 7
24 8 7
4 7 7
7 10 7
5 21 13
14 28 23
7 4 7
27 23 7
17 13 13
17 1 13
3 6 16
7 25 7
12 11 23
20 6 16
9 15 9
28 8 7
5 27 5
2 12 7
23 13 7
15 89
15 7 8
7 5 5
4 10 8
5 7 5
6 7 8
11 2 8
10 7 8
10 14 8
1 6 13
6 12 13
11 1 1
10 5 5
12 9 12
6 7 8
1 6 13
8 14 8
4 2 8
15 9 8
9 14 9
1 2 8
2 11 8
9 14 9
1 12 13
11 12 13
5 11 5
12 7 8
10 6 8
12 15 8
15 14 8
1 5 5
12 11 13
4 11 8
13 4 8
9 10 8
13 3 13
3 2 8
14 7 8
15 11 8
8 12 8
5 12 5
8 11 8
6 10 8
14 12 12
15 10 8
8 10 8
2 4 8
8 4 8
8 15 8
10 11 8
11 9 13
11 8 8
12 4 8
11 15 8
6 12 13
12 13 13
3 5 5
8 12 8
15 5 5
7 11 8
2 13 8
10 7 8
7 11 8
1 15 8
4 7 7
7 11 8
2 5 5
9 3 13
6 9 13
14 10 8
11 14 13
1 14 13
13 8 8
4 13 8
9 4 8
6 4 8
5 14 5
7 12 8
15 8 8
9 8 8
10 8 8
11 12 13
6 13 13
1 8 8
10 4 8
13 9 13
10 8 8
10 9 8
9 4 8
6 12 13
41 74
8 32 41
38 13 41
35 27 13
8 17 13
28 7 41
3 16 41
4 3 41
35 30 30
27 12 41
10 14 40
37 10 41
25 28 41
35 24 41
7 8 13
23 25 13
8 21 13
4 22 41
18 24 41
36 8 41
11 32 41
10 11 41
35 18 41
30 16 13
22 39 41
13 23 13
11 36 41
12 34 41
1 33 39
18 1 40
16 27 13
11 27 41
13 33 41
26 36 41
11 37 34
26 25 41
18 26 40
15 9 41
21 26 41
5 2 39
10 18 40
35 8 13
29 2 29
39 33 39
18 19 41
40 2 40
39 21 41
8 20 41
33 21 41
37 12 41
9 4 9
1 29 39
4 26 40
15 23 41
39 28 39
36 39 41
13 17 13
19 15 41
15 32 41
9 5 9
21 41 41
26 1 40
29 26 40
17 1 41
7 32 41
37 7 41
37 41 41
16 21 13
34 12 41
29 24 41
9 23 41
23 37 41
12 27 41
19 26 41
7 2 41
3 1
1 2 3
6 3
2 4 3
6 5 4
1 2 6
9 83
8 3 2
6 2 2
2 7 2
7 2 2
4 2 2
5 2 5
5 3 7
2 7 2
8 5 5
7 2 2
6 7 2
4 3 2
1 6 3
9 6 2
8 3 2
9 6 2
7 8 2
9 7 3
7 2 2
7 3 2
8 2 2
1 8 2
8 2 2
6 5 5
6 2 2
2 9 2
7 3 2
1 9 2
1 7 2
9 7 5
6 9 2
5 9 5
9 8 4
3 6 3
1 4 2
2 5 5
1 9 2
7 4 2
3 5 5
3 4 2
2 8 6
6 1 3
7 5 5
1 8 2
6 8 2
5 3 5
8 2 2
3 5 5
7 3 2
4 2 2
7 3 2
8 4 4
7 6 2
8 4 4
8 6 2
7 9 2
9 8 4
4 2 2
9 5 5
4 2 2
2 6 2
4 2 2
3 8 2
2 5 5
4 1 2
6 1 4
1 8 2
3 7 2
6 7 8
4 7 2
8 7 2
9 8 4
1 2 2
3 7 2
2 1 2
8 3 2
4 3 2
9 8 4
3 9 2
9 8 4
8 3 2
9 4 4
9 4 4
46 103
32 3 11
44 43 15
21 32 25
6 20 11
34 12 25
28 30 25
43 28 11
19 16 25
37 22 11
23 13 25
13 35 25
38 40 26
29 2 5
19 21 25
33 29 26
17 35 25
45 28 11
10 2 25
20 40 32
39 19 11
14 12 25
21 27 25
34 1 11
37 16 25
28 20 11
5 18 11
35 2 25
19 38 15
35 32 25
40 44 25
36 25 25
27 45 26
5 16 25
27 19 5
27 41 5
32 26 26
38 20 26
20 41 26
4 24 25
23 26 25
34 28 11
11 6 11
2 23 25
35 32 25
9 41 25
20 36 11
28 31 11
37 12 25
43 44 15
24 2 25
35 26 25
33 16 25
46 4 25
34 7 11
37 6 11
23 20 25
26 34 26
42 8 25
41 6 11
30 43 25
36 39 39
2 22 11
25 27 25
41 38 15
9 13 25
41 3 11
35 42 25
37 7 11
20 17 26
30 21 27
28 41 11
14 43 25
2 46 25
10 14 10
29 25 25
22 3 11
20 18 11
15 23 25
44 35 25
20 35 25
32 12 25
3 23 25
31 27 5
37 16 25
5 26 26
23 17 25
20 14 25
33 22 11
44 40 25
13 6 11
21 35 35
24 31 25
38 12 25
29 25 25
14 1 25
28 25 25
31 7 11
12 18 25
28 31 11
14 20 25
25 2 25
26 16 25
46 9 25
35 94
19 12 2
5 8 5
35 14 2
8 20 20
4 1 16
25 34 24
9 18 2
21 25 5
2 18 2
29 5 5
19 15 30
33 6 6
35 6 6
13 17 2
8 4 16
16 2 2
33 14 2
9 6 11
11 4 11
16 27 16
32 9 32
14 29 2
14 5 2
9 5 11
18 6 2
21 14 2
8 7 2
9 14 2
22 11 11
10 15 2
5 14 2
16 12 2
29 32 11
34 28 5
9 18 2
32 10 2
13 30 2
13 10 13
24 10 2
7 17 2
7 2 2
15 23 30
10 32 2
2 17 2
30 6 30
1 32 11
20 18 2
19 16 16
2 20 2
26 9 11
6 2 2
28 33 5
2 33 2
18 35 2
1 6 6
13 24 2
14 22 2
26 18 2
2 10 2
26 8 16
19 10 2
6 24 5
5 34 5
31 7 2
28 15 5
6 2 2
8 30 30
28 30 5
14 3 3
27 24 5
9 14 2
5 14 2
8 33 33
2 11 2
4 5 5
10 18 3
2 4 2
24 18 2
35 22 20
33 27 30
1 12 2
28 12 2
23 30 30
17 30 5
2 20 2
15 16 16
11 8 11
1 12 2
32 31 2
1 8 1
34 7 2
20 24 5
9 19 11
24 31 2
20 78
14 1 13
9 1 9
16 10 16
20 6 8
14 16 13
9 10 18
10 9 18
16 2 16
20 4 8
7 10 8
19 8 16
17 18 5
2 3 2
3 10 10
15 13 8
8 11 8
18 9 18
1 13 13
10 12 12
13 11 18
8 3 3
5 13 8
13 2 8
20 5 8
19 14 16
3 9 18
7 12 12
4 10 8
6 12 12
18 20 18
11 18 18
8 1 8
16 2 16
8 17 8
19 9 16
1 5 8
10 12 12
15 17 8
18 6 8
6 15 15
15 20 8
15 12 12
15 16 16
5 4 10
8 2 11
8 18 8
1 10 18
13 9 13
12 11 12
1 17 13
1 16 16
5 19 16
18 17 18
5 20 8
6 14 8
2 14 18
11 2 18
4 18 8
10 5 8
11 18 18
8 14 8
20 14 18
4 11 8
6 8 8
14 15 8
9 2 8
6 12 12
3 18 18
9 15 8
16 4 16
17 13 13
11 5 8
16 10 16
1 11 11
2 20 8
4 20 8
18 10 18
10 12 12
58 31
7 9 9
22 57 22
30 3 48
37 36 48
35 33 22
14 18 48
58 55 22
38 39 4
14 32 14
53 29 39
22 39 4
