Case #1: Impossible
Case #5: 12
2 5 12549
7 3 78660
6 8 219622
8 2 279422
3 6 489409
2 6 499044
4 2 512637
7 8 528542
3 1 553101
6 7 568069
1 4 593789
3 8 607202
Case #6: Impossible
Case #7: 280
42 29 5553
33 17 7526
13 23 12875
9 44 15503
17 38 28535
25 40 29309
33 44 30333
44 40 41480
42 6 43020
17 6 46430
1 12 48364
29 6 48573
29 8 55439
31 12 55465
28 45 57146
44 39 63603
28 37 66012
44 42 66643
44 16 67721
17 8 68703
33 40 71813
45 9 72405
6 38 74965
27 5 75626
7 6 79877
8 36 80864
37 42 81478
16 9 83224
24 28 85515
23 31 85939
6 39 87226
20 43 89059
42 17 89450
36 30 90163
36 45 91870
4 10 92264
25 17 93596
21 9 94091
6 25 94412
11 24 95289
3 9 96190
13 31 98814
46 13 99175
16 36 102689
25 39 103386
7 44 103500
18 3 108118
23 29 108582
39 8 109499
28 7 110633
45 6 111531
44 10 111917
23 46 112050
33 22 113469
21 36 113556
23 42 114135
25 8 116685
5 42 117223
30 39 118798
40 21 120068
22 17 120995
11 13 121788
40 3 122167
21 35 124269
23 22 124896
9 41 125135
20 25 125680
12 3 126521
3 8 126583
9 10 127420
45 25 127691
29 41 128673
9 28 129551
41 44 130509
37 41 130884
46 33 132983
45 8 133804
33 7 133833
25 42 137432
13 7 138117
18 13 138568
38 43 138788
45 24 142661
1 22 142786
45 20 142799
38 26 143441
26 33 143911
42 12 144609
28 44 145054
32 44 146077
36 10 146885
28 26 147848
5 9 148417
21 25 149377
4 31 150118
13 8 151146
6 14 151212
25 3 151476
31 44 151743
4 44 153655
5 7 154080
31 43 154182
33 30 155464
32 17 157720
12 15 158053
29 43 158495
31 26 158835
43 5 159315
12 24 160100
44 46 163316
13 43 163560
20 21 164485
2 31 164626
10 13 164974
6 22 167425
17 28 167861
36 5 167882
44 13 167903
24 40 171197
32 38 171203
21 13 172459
21 11 173488
39 34 174066
44 14 174835
1 3 174885
10 39 175520
38 30 176473
33 27 178207
5 8 178215
33 37 178454
7 12 181466
30 45 182033
37 36 183089
18 29 183487
10 5 184165
5 22 185104
22 40 185282
31 36 186711
10 12 186917
6 43 187436
22 4 189075
20 7 189397
4 34 189456
40 37 189601
4 18 189872
9 14 190338
13 17 190710
15 33 191507
27 42 192849
22 10 195053
42 35 195468
30 41 195833
10 18 195850
23 9 196281
38 28 196396
39 5 196517
31 46 197989
27 29 198402
37 5 198701
27 38 199216
38 37 199463
14 29 199785
43 45 200341
25 24 200506
44 27 200618
16 5 200635
25 32 201172
36 13 202871
31 38 203085
33 35 203222
11 26 203303
2 22 203583
17 23 203585
40 15 203604
23 32 204378
18 2 204380
40 46 204796
14 33 205168
26 7 205558
3 30 205818
1 15 206417
12 33 207891
7 46 208170
24 1 208464
43 37 209207
8 46 209212
14 36 209803
1 41 212218
38 15 212516
2 34 213111
16 32 213798
37 26 213860
31 7 215285
31 39 215346
18 25 215388
31 24 215565
14 40 216315
24 30 217440
11 29 217495
19 22 218520
25 37 218910
16 31 219464
34 25 220182
34 8 220555
8 14 220731
46 11 220963
40 2 222136
43 32 222614
38 35 224231
18 45 225333
11 41 225409
3 32 226764
17 19 227605
2 10 228393
31 32 229369
7 2 229679
31 21 230331
12 45 230628
37 11 231861
32 41 232091
24 26 233363
46 25 234105
10 1 235281
34 20 235290
24 6 236300
34 45 237301
46 18 237743
27 26 239594
34 22 239744
20 23 239744
26 21 239900
30 26 240196
16 35 240610
11 44 241542
10 31 242382
24 39 245274
11 33 245659
32 18 246809
22 32 247606
27 32 247999
9 2 248113
40 12 248688
25 2 251445
25 23 251567
22 15 252475
10 28 252784
9 1 254388
26 34 255849
35 20 258786
10 24 259364
12 41 260582
46 43 262448
37 30 264069
19 9 265915
41 24 267456
27 16 268339
15 26 268580
19 7 270373
19 6 274035
19 24 284198
41 43 284588
24 3 286621
13 27 287752
26 41 289241
15 27 289312
40 19 291892
2 39 296213
11 35 297757
19 32 298002
14 5 307749
24 5 314145
27 31 316201
22 35 316691
35 43 336702
45 19 338320
14 12 338841
19 28 346650
27 2 353564
15 14 362225
14 11 416377
Case #8: Impossible
Case #9: 333
16 18 1968
11 23 2616
24 8 4770
1 6 6644
22 10 13989
5 3 18030
22 11 19899
22 23 22515
27 23 30933
1 3 31722
11 27 33549
10 11 33888
8 23 36358
11 1 36418
10 23 36504
6 3 38366
22 14 38917
11 8 38974
1 23 39034
23 4 39538
23 18 39703
24 23 41128
23 16 41671
18 11 42319
11 6 43062
11 24 43744
12 17 44069
11 16 44287
5 27 45410
23 6 45678
5 1 49752
25 26 50497
14 10 52906
22 27 53448
19 26 54376
1 22 56317
6 5 56396
14 11 58816
22 8 58873
16 2 60813
14 23 61432
4 22 62053
18 22 62218
18 2 62781
6 22 62961
27 3 63440
24 22 63643
14 19 63872
22 16 64186
6 4 66149
3 17 67078
27 8 67291
21 14 67421
10 27 67437
3 11 68140
1 27 69967
10 1 70306
4 27 70471
13 19 70562
27 18 70636
23 3 70756
24 27 72061
16 27 72604
4 1 72793
10 8 72862
7 24 73769
1 8 75392
23 19 75403
4 8 75896
4 10 76042
8 18 76061
18 10 76207
5 23 76343
27 6 76611
24 10 77632
19 11 78019
16 8 78029
10 16 78175
8 7 78539
18 1 78737
5 11 78959
18 4 79241
21 6 80075
24 1 80162
24 4 80666
16 1 80705
24 18 80831
16 4 81209
6 8 82036
16 24 82799
5 17 85108
18 6 85381
9 8 86454
4 15 86513
21 1 86719
6 24 86806
16 6 87349
22 3 88039
27 14 92365
1 14 95234
20 27 96007
21 24 97427
14 8 97790
19 22 97918
1 17 98800
5 22 98858
14 4 100970
14 6 101878
3 10 102028
2 23 102484
14 24 102560
27 15 102969
16 14 103103
4 3 104515
26 4 104638
19 25 104873
11 2 105100
6 17 105444
12 6 105731
19 27 106336
22 21 106338
3 8 107114
17 20 108880
3 18 110459
25 24 111139
3 12 111147
22 12 111327
19 8 111761
24 3 111884
19 10 111907
12 1 112375
3 16 112427
8 5 112701
5 10 112847
13 6 113418
15 12 113860
1 19 114437
23 7 114897
4 19 114941
23 13 114966
19 18 115106
4 5 115881
25 8 115909
5 18 116046
24 19 116531
19 16 117074
24 5 117471
7 11 117513
13 11 117582
16 5 118014
26 14 118248
21 3 118441
13 1 120062
10 21 120327
6 19 121081
26 27 122417
9 23 122812
21 11 123137
20 8 124921
13 26 124938
22 2 124999
11 25 125204
12 10 125316
9 11 125428
23 21 125753
23 15 126051
3 14 126956
11 15 128667
12 5 129177
20 11 129556
24 20 129691
23 26 129779
17 27 130518
11 12 131226
19 21 131293
26 11 132395
2 27 133417
12 23 133842
13 14 134434
17 11 135218
5 21 136471
7 22 137412
22 13 137481
14 5 137775
17 23 137834
2 8 138842
2 10 138988
13 17 141414
5 20 141417
2 1 141518
2 4 142022
2 24 143612
22 25 145103
22 9 145327
27 7 145830
27 13 145899
19 3 146159
21 4 146224
2 6 148162
15 5 148379
15 22 148566
15 1 148587
7 21 149179
22 20 149455
12 14 150244
8 13 151324
7 10 151401
10 13 151470
19 5 151746
13 3 151784
26 22 152294
6 15 152662
12 20 152949
10 26 152966
9 27 153745
1 7 153931
7 4 154435
4 13 154504
18 7 154600
18 13 154669
17 22 155117
4 25 155135
13 24 156094
16 7 156568
13 16 156637
27 21 156686
15 17 157929
9 10 159316
20 3 159447
6 7 160575
1 25 161622
26 24 161636
1 9 161846
20 2 161945
4 9 162350
8 15 162409
18 9 162515
10 15 162555
2 21 162820
20 10 163444
2 14 163916
16 9 164483
27 12 164775
9 7 164993
21 18 165456
18 15 165754
1 20 165974
8 26 166137
15 3 166409
20 4 166478
18 20 166643
16 21 167424
18 25 167523
16 15 167722
5 26 167827
25 6 168266
6 9 168490
16 20 168611
14 25 168745
17 10 169106
16 25 169491
13 5 169814
8 12 170200
26 6 170787
26 16 171450
17 4 171593
4 12 171880
20 6 172618
17 8 174192
12 24 174970
25 13 175435
12 16 175513
7 14 176329
17 18 177537
19 2 177887
2 5 178827
17 24 178962
9 21 179111
16 17 179505
7 5 184878
25 7 184908
12 13 185483
17 21 185519
7 3 185653
26 21 185669
12 21 185806
26 3 185857
15 14 187483
14 20 188372
19 7 190300
26 15 191151
25 3 193344
21 13 193493
9 3 193568
17 14 194034
19 9 198215
15 20 198976
9 5 199155
19 15 201454
19 20 202343
9 25 202363
20 7 203460
25 5 204163
25 21 208566
19 12 209245
20 9 211375
19 17 211976
7 2 217381
2 13 217450
26 20 218424
15 7 221066
9 2 225296
2 15 228535
7 13 229863
2 25 230304
2 26 232263
15 21 232737
26 7 235405
2 17 240318
25 20 240830
13 15 241017
25 15 241648
13 20 241906
12 26 243360
7 12 248739
15 9 248863
26 9 252591
7 17 252731
17 26 252935
25 12 256430
9 12 256654
17 25 260422
17 9 260646
Case #10: Impossible
Case #11: Impossible
Case #12: 26
8 6 16705
6 1 43018
2 1 46153
5 7 47308
6 3 60225
3 7 61437
5 6 74354
3 8 76930
2 6 89171
8 5 91059
3 1 103243
2 8 105876
7 6 121662
7 8 138367
2 3 149396
1 7 164680
7 2 210833
3 9 220896
6 4 256938
9 6 281121
8 9 297826
3 4 317163
1 9 324139
5 4 331292
4 2 346109
4 9 538059
Case #13: 27
10 4 44138
13 9 181140
6 7 226452
10 5 251433
6 2 324961
8 7 330117
11 3 334396
10 7 338220
1 12 349984
10 6 391081
9 8 418459
7 13 423123
7 3 435943
8 4 450608
5 1 451386
12 9 478088
2 12 479369
9 1 500366
1 2 523607
13 1 551354
5 9 579490
5 7 589653
4 2 600769
13 5 601200
8 5 622742
11 9 623728
6 11 627754
Case #14: Impossible
Case #15: 820
40 23 429
7 11 624
30 1 1848
5 15 2352
30 8 6231
5 27 7079
8 1 8079
41 19 8567
15 27 9431
33 40 10467
23 33 10896
5 14 12201
3 26 12410
15 1 12752
37 7 13528
37 11 14152
15 14 14553
30 15 14600
5 1 15104
23 1 15257
1 40 15686
5 30 16952
30 23 17105
40 30 17534
6 15 18016
5 9 18077
18 32 18806
27 14 19280
6 5 20368
9 15 20429
15 8 20831
39 1 20874
1 27 22183
12 15 22356
2 6 22631
30 39 22722
8 5 23183
23 8 23336
8 40 23765
38 16 23780
17 27 24012
30 27 24031
12 5 24708
9 27 25156
31 30 25159
1 33 26153
31 1 27007
1 14 27305
27 6 27447
33 30 28001
23 15 28009
15 40 28438
8 39 28953
30 14 29153
31 12 29898
27 8 30262
9 14 30278
5 23 30361
11 19 30553
29 14 30691
6 1 30768
40 5 30790
17 5 31091
7 19 31177
22 5 31210
31 8 31390
27 12 31787
4 35 32068
6 14 32569
30 6 32616
9 1 33181
15 17 33443
22 15 33562
15 39 33626
33 8 34232
30 9 35029
1 12 35108
14 8 35384
5 39 35978
39 23 36131
39 40 36560
14 12 36909
12 30 36956
23 27 37440
40 27 37869
18 9 38274
22 27 38289
6 9 38445
6 8 38847
15 33 38905
11 41 39120
41 7 39744
15 31 39759
6 12 40372
15 2 40647
5 33 41257
9 8 41260
25 13 41282
31 5 42111
31 23 42264
23 14 42562
40 31 42693
9 12 42785
29 5 42892
14 40 42991
5 2 42999
27 39 43057
12 8 43187
17 14 43292
14 22 43411
31 27 43578
37 19 44705
15 29 45244
23 6 46025
17 1 46195
1 22 46314
40 6 46454
39 33 47027
39 31 47881
29 24 47888
17 30 48043
22 30 48162
14 39 48179
27 33 48336
23 9 48438
37 18 48620
40 9 48867
9 17 49168
30 37 49266
9 22 49287
27 29 49971
11 10 50071
27 2 50078
12 23 50365
10 7 50695
36 6 50735
12 40 50794
37 1 51114
17 6 51459
22 6 51578
6 39 51642
33 31 53160
41 37 53272
2 1 53399
33 14 53458
9 39 54055
17 8 54274
31 14 54312
8 22 54393
14 2 55200
2 30 55247
37 8 55497
12 17 55799
12 22 55918
12 39 55982
29 6 56283
5 18 56351
33 6 56921
9 32 57080
31 6 57775
29 1 57996
20 37 58177
15 18 58703
24 39 58780
9 33 59334
36 34 59657
29 30 59844
31 9 60188
24 37 60792
29 9 60969
2 9 61076
12 33 61261
17 23 61452
8 2 61478
22 23 61571
17 40 61881
40 22 62000
18 7 62148
22 17 62301
18 11 62772
7 30 62794
2 12 63003
24 36 63287
11 30 63418
27 18 63430
38 22 63811
15 37 63866
10 37 64223
7 1 64642
11 1 65266
10 23 65335
10 40 65764
8 29 66075
37 5 66218
37 23 66371
20 38 66567
37 40 66800
39 17 67069
39 22 67188
37 32 67426
31 17 67590
12 29 67600
32 16 68436
14 18 68552
2 23 68656
36 15 68751
7 8 69025
40 2 69085
11 8 69649
5 36 71103
33 34 71364
1 18 71455
20 7 71705
1 36 71716
39 37 71988
11 20 72329
17 33 72348
22 33 72467
23 29 73253
27 37 73297
18 30 73303
22 31 73321
2 36 73366
30 36 73564
29 40 73682
17 29 73983
2 17 74090
29 22 74102
2 22 74209
39 2 74273
7 24 74320
31 37 74425
31 13 74562
11 24 74944
32 5 75157
33 10 76231
36 9 76464
18 6 76719
37 33 77267
7 15 77394
32 15 77509
15 11 78018
36 27 78182
14 37 78419
25 35 78547
14 24 78579
39 29 78870
2 29 78914
22 16 78998
15 34 79206
18 8 79534
33 2 79552
1 24 79654
7 5 79746
11 38 79780
8 36 79795
23 7 79899
40 7 80328
11 5 80370
7 38 80404
31 2 80406
23 11 80523
10 1 80592
10 19 80624
40 11 80952
32 7 80954
12 18 81059
30 24 81502
5 34 81558
11 32 81578
34 40 81831
6 37 81882
32 27 82236
23 34 82260
10 30 82440
14 36 83304
33 29 84149
9 37 84295
27 25 84893
31 29 85003
4 33 85442
24 10 85475
7 39 85516
11 39 86140
12 37 86222
23 18 86712
7 27 86825
23 36 86973
18 40 87141
18 16 87242
32 14 87358
40 36 87402
18 17 87442
27 11 87449
18 22 87561
24 8 87733
31 7 87953
31 11 88577
27 34 88637
8 10 88671
33 3 88931
41 10 89191
1 32 90261
16 20 90347
5 24 90780
33 7 90795
36 12 91107
12 34 91207
33 11 91419
14 7 91947
34 1 91958
25 5 91972
32 30 92109
32 38 92216
39 18 92329
15 24 92406
11 14 92571
39 36 92590
18 19 93325
15 10 93344
14 34 93759
34 30 93806
38 37 93932
19 30 93971
25 15 94324
16 40 94409
6 7 94573
23 16 94838
23 24 94911
5 38 95021
11 6 95197
24 40 95340
32 6 95525
5 10 95696
19 1 95819
40 4 95909
4 23 96338
7 9 96447
9 11 97071
19 12 97192
34 6 97222
17 37 97309
16 7 97311
15 38 97373
37 22 97428
5 41 97498
18 33 97608
27 24 97859
33 36 97869
16 11 97935
32 8 98340
31 18 98462
36 31 98723
20 19 99051
29 18 99243
2 18 99350
3 40 99398
9 34 99635
13 30 99721
12 7 99750
3 23 99827
41 15 99850
12 32 99865
31 41 100000
8 34 100037
8 19 100202
11 12 100374
26 33 101341
39 10 101466
13 1 101569
4 17 101596
41 18 101892
27 38 102100
36 17 102194
36 22 102313
41 30 102538
16 21 102649
27 10 102775
6 24 104171
25 14 104173
1 41 104386
12 13 104460
37 2 104513
41 27 104577
13 17 104611
33 16 104876
24 19 105497
23 32 105518
39 4 105657
41 12 105759
24 33 105807
32 40 105947
8 13 105952
19 5 106065
32 17 106248
32 22 106367
24 31 106661
20 18 106797
41 4 106801
36 29 107018
25 1 107076
38 14 107222
30 20 107443
10 31 107599
41 20 107618
4 2 107632
14 10 107897
41 38 107928
35 29 108018
12 38 108323
20 9 108357
15 19 108417
19 31 108567
37 29 108680
41 8 108769
24 9 108857
25 17 108905
30 25 108924
20 1 109291
18 38 109327
18 24 109412
16 4 109536
41 14 109699
25 9 110049
1 16 110095
38 1 110125
5 16 110208
19 38 110333
25 4 110615
39 19 110652
17 7 110837
37 16 110839
22 7 110956
23 19 111076
39 32 111135
30 3 111168
10 6 111360
11 17 111461
19 40 111505
11 22 111580
1 4 111595
40 26 111808
16 30 111943
37 4 111960
38 30 111973
19 32 112131
26 23 112237
6 25 112340
16 15 112560
34 17 112649
34 22 112768
39 34 112832
10 18 112843
3 1 113016
9 38 113098
19 27 113144
4 30 113443
8 20 113674
9 10 113773
41 24 114064
15 13 114321
24 12 114486
18 36 114738
25 8 115155
19 4 115368
38 6 115389
41 9 115575
10 12 115700
25 31 115844
32 33 116414
14 28 116546
13 5 116673
12 25 116680
23 13 116826
2 7 117204
13 40 117255
31 32 117268
16 27 117287
3 8 117399
33 35 117510
2 11 117828
6 41 117866
29 32 118049
27 13 118140
2 32 118156
8 16 118174
40 38 118189
38 8 118204
14 19 118266
38 23 118618
34 31 118965
24 20 118969
41 39 119219
23 41 119643
8 4 119674
35 13 119829
34 2 119853
40 41 120072
32 41 120698
2 3 121249
17 24 121871
19 33 121972
24 22 121990
15 20 122043
29 7 122208
25 23 122333
10 20 122400
16 14 122409
13 39 122443
40 25 122762
37 36 122830
11 29 122832
34 41 122858
24 34 122944
22 25 123182
26 30 123578
9 19 124142
9 16 124200
15 4 124347
5 20 124395
29 34 124450
23 20 124548
40 20 124977
1 26 125426
7 4 125488
32 20 125603
27 4 125608
19 6 125750
3 15 125768
38 17 126112
11 4 126112
38 21 126429
4 5 126699
10 17 126787
24 2 126802
22 10 126906
33 13 127722
39 25 127950
40 35 127977
3 5 128120
24 32 128218
23 35 128406
19 16 128488
41 17 128589
38 33 128656
41 22 128708
28 5 128747
14 13 128874
8 26 129809
38 10 129851
39 20 130165
4 6 130263
22 20 130378
41 33 130539
16 6 130576
16 39 130969
39 38 130999
15 28 131099
34 19 131425
20 27 131474
32 10 131649
41 16 131708
35 1 132100
12 16 132103
6 13 132337
16 36 132524
31 20 132602
33 25 133229
4 38 133316
29 10 133363
36 32 133544
26 2 133659
17 35 133664
39 3 133890
35 30 133948
10 2 133991
9 13 134750
29 25 134864
2 25 134971
27 3 135199
20 33 135444
28 27 135826
31 3 136327
7 36 136358
20 14 136596
28 38 136750
11 36 136982
31 16 137102
38 31 137132
17 19 137156
19 22 137275
35 39 137725
34 18 137909
29 38 137913
26 14 138016
38 2 138020
26 15 138178
11 25 138323
31 4 138602
14 35 138709
41 35 138869
4 14 138900
25 7 138947
35 2 139700
6 20 140059
4 29 140086
35 8 140179
14 3 140321
41 29 140390
2 41 140497
26 5 140530
16 17 141299
16 35 141604
37 26 142526
13 10 142722
37 34 143072
6 3 143784
28 1 143851
37 35 144028
35 10 144355
12 20 144399
32 26 144649
4 9 144776
35 15 144852
17 26 145405
28 30 145699
9 3 146197
39 26 146300
12 4 146703
28 9 146824
5 35 147204
29 28 147237
19 35 147436
34 10 147595
27 26 147609
22 13 147883
16 10 148006
3 12 148124
18 25 148323
2 19 148381
26 31 148737
36 10 148762
19 29 148957
13 37 148987
6 28 149115
4 13 151897
28 8 151930
37 25 152475
16 29 153100
2 16 153207
28 12 153455
35 27 154283
38 24 154724
3 37 154936
13 2 154968
17 20 155486
35 24 155906
7 26 156054
26 6 156194
36 38 156304
7 34 156600
11 26 156678
32 34 156715
34 4 156806
3 32 157059
11 34 157224
35 7 157556
3 17 157815
4 22 157909
35 11 158180
26 9 158607
31 35 159107
23 28 159108
22 3 159330
28 40 159537
29 13 159565
28 17 159838
28 22 159957
3 34 160295
16 28 160530
26 12 160534
4 18 160580
10 4 161673
35 6 162331
7 13 162515
20 2 162690
36 25 163075
13 11 163139
26 18 163455
4 24 164437
28 39 164725
3 10 165162
9 35 165281
35 38 165384
12 35 166304
3 13 166640
25 21 166791
20 29 166857
25 32 167129
19 36 167535
3 7 168464
41 36 168601
26 29 168707
25 19 168876
11 3 169088
33 28 170004
20 4 170137
31 28 170858
3 29 171012
21 32 171085
24 16 171631
22 26 171740
2 28 171746
34 26 172705
13 18 173024
36 13 173285
34 25 173530
4 3 174373
41 13 174562
18 3 175865
16 34 176240
38 34 176579
25 41 177443
26 10 177572
4 32 177972
22 35 178414
13 26 179050
4 36 180998
36 20 181007
24 13 181223
21 22 181647
24 25 182752
19 13 183129
16 26 183398
25 10 184004
36 3 184732
28 18 185098
4 26 186783
38 25 186993
19 26 187231
34 35 188874
21 18 189891
32 13 191830
18 35 192648
24 3 192670
20 21 192996
13 34 193527
16 3 193807
37 28 194965
28 24 195125
41 26 195798
21 27 196151
21 40 197058
36 26 197142
23 21 197487
3 19 199641
36 28 199850
7 21 199960
21 11 200584
26 20 200703
20 34 201249
25 16 202180
20 35 202205
3 20 203047
21 5 203230
28 20 203317
26 24 203318
35 36 203816
32 28 203904
13 38 204110
21 15 205582
3 35 206441
20 13 207164
26 38 207178
33 21 207525
2 21 207608
25 3 207922
21 13 208073
3 41 208208
7 28 208493
28 11 209117
35 32 210040
28 34 210305
20 25 210652
13 16 211664
21 4 212185
1 21 212744
21 37 213488
30 21 214592
21 14 215431
3 38 217587
12 21 217839
35 26 218851
17 21 220163
25 26 220332
28 25 220719
8 21 220823
21 9 221307
21 6 223598
10 28 224443
41 28 226245
21 36 228351
21 39 231120
19 21 231137
21 41 234357
19 28 234812
21 31 239729
21 35 244253
13 28 245420
21 29 246122
10 21 250655
28 26 254562
35 28 255255
4 28 255446
28 3 256867
28 21 263179
24 21 274280
21 34 278889
21 26 286047
3 21 296456
Case #16: 46
2 6 28559
4 11 34425
7 9 40513
9 1 53631
8 11 60025
5 8 67776
3 4 76461
5 11 89459
1 7 94144
7 8 97225
11 9 116737
9 5 124488
5 3 131495
10 1 139995
9 4 151162
7 11 157250
3 9 158773
1 11 168995
1 5 178119
4 7 191675
9 10 193626
3 7 199286
2 11 201346
1 4 203420
1 3 211031
6 5 219068
11 6 229905
7 10 234139
4 2 235771
2 3 243382
8 10 250338
2 8 261371
6 4 264330
6 3 271941
6 8 286844
10 11 308990
6 1 317089
9 2 318083
10 5 318114
4 10 343415
6 9 343556
2 1 345648
3 10 351026
2 7 358596
6 10 368350
2 10 396909
Case #17: 676
15 38 401
18 41 450
17 24 1066
2 38 4135
2 15 4536
29 22 5625
42 4 5708
10 1 6874
36 7 6876
18 20 8403
41 20 8853
41 16 9818
16 18 10268
24 35 10847
15 19 11039
3 8 11573
35 17 11913
24 42 12049
40 41 12797
17 42 13115
6 15 14415
43 28 14529
19 2 15575
17 11 15611
11 35 17291
4 24 17757
33 5 18358
20 16 18671
4 17 18823
33 1 18999
31 40 19286
33 15 20603
4 30 20820
33 38 21004
20 40 21650
40 16 22615
33 26 23964
9 22 24947
33 2 25139
33 10 25873
37 33 26348
32 22 26502
42 30 26528
41 39 26745
42 34 27117
39 18 27195
35 30 27730
19 35 28680
34 29 29028
15 12 29757
29 9 30572
19 33 31642
31 41 32083
32 29 32127
34 4 32825
4 19 33186
30 22 34042
34 22 34653
21 38 35294
20 39 35598
15 21 35695
39 16 36563
24 34 36762
14 34 36786
36 27 36867
30 26 37262
5 1 37357
9 14 38330
15 42 38517
24 30 38577
22 36 38688
17 21 38752
5 15 38961
42 37 39052
42 21 39230
5 38 39362
2 21 39429
19 24 39527
15 35 39719
24 21 39818
14 32 39885
35 38 40120
37 35 40254
35 21 40432
19 12 40796
31 20 40936
16 31 41901
26 5 42322
30 11 42617
2 42 43053
11 34 43206
12 6 43370
5 2 43497
7 27 43743
7 18 44105
1 2 44138
5 10 44231
35 2 44255
36 29 44313
15 26 44567
38 4 44626
37 5 44706
37 4 44760
4 21 44938
38 26 44968
29 31 45501
34 21 45535
31 34 45557
22 7 45564
20 36 45632
6 1 45855
18 26 46385
15 10 46476
21 19 46734
41 26 46835
38 10 46877
13 4 47801
26 2 49103
6 21 49308
29 28 49596
26 10 49837
5 19 50000
23 8 50074
26 37 50312
42 20 50358
12 33 50360
38 9 50531
15 24 50566
19 1 50641
26 6 50820
39 29 50839
39 34 50895
9 15 50932
38 24 50967
2 10 51012
17 40 51105
31 22 51126
7 29 51189
32 9 51449
37 2 51487
35 20 51560
15 17 51632
38 17 52033
37 17 52167
24 40 52171
37 10 52221
20 7 52508
6 10 52729
42 6 52932
37 6 53204
16 7 53473
30 34 53645
6 35 54134
19 34 54595
11 15 54606
2 9 54666
38 11 55007
2 24 55102
11 37 55141
22 28 55221
19 26 55606
4 20 56066
42 29 56145
17 2 56168
33 21 56298
20 12 56417
7 40 56452
39 22 56464
16 26 56653
28 14 57354
10 19 57515
19 37 57990
26 4 58082
20 29 58507
14 39 58597
4 6 58640
42 18 58761
14 7 58947
9 30 58989
42 33 59120
2 11 59142
41 42 59211
34 9 59600
18 35 59963
12 32 60016
31 13 60214
33 35 60322
12 40 60361
41 35 60413
4 29 60487
32 30 60544
42 22 60570
32 34 61155
33 30 61226
9 19 61971
17 6 62537
35 14 62701
40 35 63018
18 11 63244
17 20 63473
39 36 63524
9 36 63635
